mad	Essen
morgenmad	Frühstück
frokost	Mittagessen
aftensmad	Abendessen
restaurant	Restaurant
café	Café
menu	Speisekarte
tjener	Kellner
regning	Rechnung
bestille	bestellen
spise	essen
drikke	trinken
brød	Brot
smør	Butter
ost	Käse
mælk	Milch
æg	Ei
kød	Fleisch
kylling	Huhn
fisk	Fisch
grøntsager	Gemüse
kartoffel	Kartoffel
ris	Reis
pasta	Nudeln
suppe	Suppe
salat	Salat
frugt	Obst
æble	Apfel
banan	Banane
jordbær	Erdbeere
appelsin	Orange
kage	Kuchen
is	Eis
chokolade	Schokolade
sukker	Zucker
salt	Salz
peber	Pfeffer
vand	Wasser
kaffe	Kaffee
te	Tee
øl	Bier
vin	Wein
juice	Saft
sulten	hungrig
tørstig	durstig
lækker	lecker
sund	gesund
usund	ungesund
vegetar	Vegetarier
velbekomme	guten Appetit
