hobby	Hobby
fritid	Freizeit
sport	Sport
løbe	laufen
svømme	schwimmen
cykle	Rad fahren
vandre	wandern
rejse	reisen
læse	lesen
skrive	schreiben
male	malen
tegne	zeichnen
fotografi	Fotografie
musik	Musik
sang	Gesang
guitar	Gitarre
klaver	Klavier
film	Film
serie	Serie
biograf	Kino
dans	tanzen
fitness	Fitness
træning	Training
kamp	Sportspiel
hold	Mannschaft
fodbold	Fußball
håndbold	Handball
tennis	Tennis
badminton	Badminton
ski	Skifahren
snowboard	Snowboard
klatre	klettern
camping	Camping
natur	Natur
havearbejde	Gartenarbeit
madlavning	Kochen
strikke	stricken
spil	Spiel
brætspil	Brettspiel
computer	Computer
videospil	Videospiel
internet	Internet
ven	Freund
forening	Verein
bog	Buch
weekend	Wochenende
afslapning	Entspannung
sjov	Spaß
interesse	Interesse
aktiv	aktiv
