universitet	Universität
studium	Studium
studerende	Student
forelæsning	Vorlesung
øvelse	Übung
eksamen	Prüfung
karakter	Note
opgave	Aufgabe
projekt	Projekt
rapport	Bericht
forskning	Forschung
professor	Professor
underviser	Dozent
kursus	Kurs
bibliotek	Bibliothek
bog	Buch
computer	Computer
program	Programm
software	Software
ingeniør	Ingenieur
arbejde	Arbeit
firma	Firma
virksomhed	Unternehmen
kontor	Büro
chef	Chef
kollega	Kollege
møde	Besprechung
kunde	Kunde
afdeling	Abteilung
ansættelse	Anstellung
løn	Gehalt
kontrakt	Vertrag
erfaring	Erfahrung
karriere	Karriere
ansøgning	Bewerbung
cv	Lebenslauf
interview	Vorstellungsgespräch
praktik	Praktikum
deadline	Abgabetermin
mail	E-Mail
telefon	Telefon
internet	Internet
udvikling	Entwicklung
analyse	Analyse
problem	Problem
løsning	Lösung
ansvar	Verantwortung
succes	Erfolg
samarbejde	Zusammenarbeit
leder	Führungskraft
