hej	hallo
farvel	auf wiedersehen
ja	ja
nej	nein
tak	danke
mange tak	vielen dank
undskyld	entschuldigung
vær så god	bitte
godmorgen	guten Morgen
godaften	guten Abend
godnat	gute Nacht
hvordan går det	wie geht es dir
jeg har det godt	mir geht es gut
hvad hedder du	wie heißt du
jeg hedder	ich heiße
mand	Mann
kvinde	Frau
barn	Kind
familie	Familie
ven	Freund
hus	Haus
lejlighed	Wohnung
værelse	Zimmer
dør	Tür
vindue	Fenster
bord	Tisch
stol	Stuhl
seng	Bett
køkken	Küche
bad	Badezimmer
mad	Essen
brød	Brot
vand	Wasser
mælk	Milch
kaffe	Kaffee
te	Tee
øl	Bier
vin	Wein
æble	Apfel
ost	Käse
morgen	Morgen
dag	Tag
uge	Woche
måned	Monat
år	Jahr
i dag	heute
i morgen	morgen
i går	gestern
nu	jetzt
senere	später
en	eins
to	zwei
tre	drei
fire	vier
fem	fünf
seks	sechs
syv	sieben
otte	acht
ni	neun
ti	zehn
stor	groß
lille	klein
god	gut
dårlig	schlecht
varm	warm
kold	kalt
hurtig	schnell
langsom	langsam
ny	neu
gammel	alt
at være	sein
at have	haben
at gøre	machen
at gå	gehen
at komme	kommen
at se	sehen
at høre	hören
at spise	essen
at drikke	trinken
at arbejde	arbeiten
skole	Schule
arbejde	Arbeit
butik	Geschäft
station	Bahnhof
vej	Straße
bil	Auto
cykel	Fahrrad
tog	Zug
bus	Bus
fly	Flugzeug
penge	Geld
pris	Preis
hotel	Hotel
strand	Strand
hav	Meer
sol	Sonne
regn	Regen
sne	Schnee
hjælp	Hilfe
læge	Arzt
